Line,# Letter, Cz/theta, Cz/alpha, Cz/betaL, Cz/betaH, Cz/gamma, Fz/theta, Fz/alpha, Fz/betaL, Fz/betaH, Fz/gamma, Fp1/theta, Fp1/alpha, Fp1/betaL, Fp1/betaH, Fp1/gamma, F7/theta, F7/alpha, F7/betaL, F7/betaH, F7/gamma, F3/theta, F3/alpha, F3/betaL, F3/betaH, F3/gamma, FC1/theta, FC1/alpha, FC1/betaL, FC1/betaH, FC1/gamma, C3/theta, C3/alpha, C3/betaL, C3/betaH, C3/gamma, FC5/theta, FC5/alpha, FC5/betaL, FC5/betaH, FC5/gamma, FT9/theta, FT9/alpha, FT9/betaL, FT9/betaH, FT9/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, TP9/theta, TP9/alpha, TP9/betaL, TP9/betaH, TP9/gamma, CP5/theta, CP5/alpha, CP5/betaL, CP5/betaH, CP5/gamma, CP1/theta, CP1/alpha, CP1/betaL, CP1/betaH, CP1/gamma, P3/theta, P3/alpha, P3/betaL, P3/betaH, P3/gamma, P7/theta, P7/alpha, P7/betaL, P7/betaH, P7/gamma, O1/theta, O1/alpha, O1/betaL, O1/betaH, O1/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, Oz/theta, Oz/alpha, Oz/betaL, Oz/betaH, Oz/gamma, O2/theta, O2/alpha, O2/betaL, O2/betaH, O2/gamma, P8/theta, P8/alpha, P8/betaL, P8/betaH, P8/gamma, P4/theta, P4/alpha, P4/betaL, P4/betaH, P4/gamma, CP2/theta, CP2/alpha, CP2/betaL, CP2/betaH, CP2/gamma, CP6/theta, CP6/alpha, CP6/betaL, CP6/betaH, CP6/gamma, TP10/theta, TP10/alpha, TP10/betaL, TP10/betaH, TP10/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, FT10/theta, FT10/alpha, FT10/betaL, FT10/betaH, FT10/gamma, FC6/theta, FC6/alpha, FC6/betaL, FC6/betaH, FC6/gamma, C4/theta, C4/alpha, C4/betaL, C4/betaH, C4/gamma, FC2/theta, FC2/alpha, FC2/betaL, FC2/betaH, FC2/gamma, F4/theta, F4/alpha, F4/betaL, F4/betaH, F4/gamma, F8/theta, F8/alpha, F8/betaL, F8/betaH, F8/gamma, Fp2/theta, Fp2/alpha, Fp2/betaL, Fp2/betaH, Fp2/gamma
506,10,0.739,0.737,0.36,0.412,0.047,0.138,0.105,0.076,0.08599999999999998,0.039,2.219,0.91,0.399,0.524,0.063,4.721,3.139,0.542,0.336,0.07,1.182,0.396,0.187,0.081,0.025,0.152,0.049,0.056,0.025,0.008,1.089,1.04,0.21,0.07399999999999998,0.035,3.196,1.837,0.417,0.161,0.054,9.241,8.775,1.09,0.376,0.172,6.511,8.769,0.947,0.445,0.158,6.774,13.468,1.809,0.741,0.147,7.359,11.657,1.33,0.902,0.134,1.806,4.411,0.397,0.527,0.101,5.229,20.701,2.244,1.063,0.144,11.208,38.513,3.842,0.8399999999999999,0.334,6.982,71.626,3.227,1.311,0.341,1.411,11.549,1.931,5.095,0.341,4.683,49.929,2.696,1.295,0.309,2.545,41.875,3.777,1.406,0.286,6.544,73.013,2.795,1.544,0.281,3.277,42.866,1.734,1.046,0.258,1.858,8.715999999999998,0.417,0.465,0.078,4.723,28.745,0.957,1.045,0.198,6.591,25.819,1.954,1.114,0.713,5.04,12.148,0.562,0.588,0.384,4.497,7.202,0.7,0.321,0.104,1.621,2.816,1.019,3.396,0.211,1.335,4.274,0.208,0.131,0.045,0.629,0.867,0.8369999999999999,2.825,0.347,0.401,0.613,0.163,0.113,0.042,2.369,3.939,0.382,0.211,0.066,0.902,1.031,0.175,0.193,0.07
507,10,0.628,0.49,0.35,0.572,0.048,0.147,0.07299999999999998,0.043,0.045,0.02,1.558,0.938,0.309,0.28,0.068,3.175,4.071,0.458,0.357,0.084,0.8469999999999999,0.413,0.21,0.07,0.026,0.196,0.029,0.033,0.019,0.005,0.742,0.878,0.159,0.05,0.027,1.871,2.118,0.294,0.08799999999999998,0.034,6.62,11.184,1.092,0.382,0.166,4.315,10.592,1.02,0.519,0.139,5.109,12.245,1.784,0.595,0.139,4.84,9.587,1.338,0.718,0.112,1.157,3.711,0.465,0.398,0.07,4.508,16.339,2.251,0.735,0.114,8.756,33.051,3.802,0.638,0.324,5.716,64.043,2.659,1.014,0.324,1.178,9.293,1.739,5.394,0.303,4.619,39.924,2.135,1.082,0.302,2.608,34.733,2.56,0.984,0.277,6.289,72.94499999999998,2.447,1.314,0.331,3.254,32.921,1.157,0.728,0.237,1.484,6.003,0.339,0.289,0.072,3.632,26.641,0.798,0.804,0.196,6.729,29.17,1.364,1.317,0.678,4.021,12.279,0.578,0.78,0.368,3.776,8.727999999999998,0.8199999999999998,0.349,0.133,1.273,2.759,0.882,3.282,0.24,1.581,4.379,0.188,0.109,0.057,0.795,0.765,0.8409999999999999,3.07,0.336,0.327,1.171,0.201,0.07499999999999998,0.038,2.12,5.505,0.435,0.234,0.083,0.8159999999999998,1.772,0.175,0.179,0.066
508,10,0.69,0.281,0.363,0.718,0.064,0.16,0.052,0.027,0.026,0.013,1.268,0.951,0.29,0.212,0.098,1.817,3.562,0.399,0.368,0.095,0.689,0.363,0.211,0.08699999999999998,0.033,0.242,0.025,0.022,0.018,0.004,0.615,0.759,0.161,0.045,0.025,0.941,1.846,0.184,0.063,0.027,3.879,10.186,1.017,0.394,0.152,2.193,10.807,1.054,0.681,0.126,2.735,9.695,1.286,0.418,0.125,2.401,7.711,0.9950000000000001,0.431,0.099,0.794,2.575,0.468,0.27,0.042,3.602,12.341,1.607,0.387,0.094,5.624,26.944,2.859,0.494,0.284,4.469,53.188,1.76,0.776,0.292,1.221,6.363,1.752,6.198,0.341,4.29,29.865,1.425,0.76,0.29,2.675,27.635,1.33,0.555,0.267,5.77,68.918,2.574,1.185,0.358,3.355,23.218,1.033,0.449,0.215,1.116,3.352,0.281,0.135,0.056,2.682,22.251,0.586,0.635,0.178,5.272,27.644,1.008,1.357,0.618,2.587,11.071,0.551,0.932,0.409,2.276,8.009,0.8199999999999998,0.315,0.145,0.858,2.862,0.907,3.775,0.228,1.528,3.862,0.233,0.103,0.06,0.925,0.557,0.8479999999999999,3.685,0.306,0.248,1.514,0.228,0.058,0.043,1.588,5.409,0.419,0.202,0.103,0.695,2.235,0.172,0.186,0.096
509,10,0.8489999999999999,0.271,0.266,0.657,0.083,0.269,0.066,0.045,0.032,0.021,1.599,0.878,0.295,0.219,0.124,1.412,2.031,0.37,0.343,0.096,0.709,0.299,0.165,0.099,0.036,0.241,0.028,0.019,0.018,0.005,0.94,0.683,0.214,0.05,0.028,0.542,1.1,0.147,0.06,0.026,2.465,6.017,0.78,0.369,0.118,1.22,7.652999999999999,0.893,0.624,0.135,1.607,7.049,0.738,0.294,0.116,1.559,5.964,0.72,0.271,0.08599999999999998,0.8469999999999999,2.052,0.435,0.206,0.034,2.873,11.135,0.89,0.255,0.107,3.984,21.815,2.029,0.474,0.242,4.169,45.916,1.192,0.617,0.302,1.204,5.598,1.543,5.992,0.428,3.529,27.316,0.8359999999999999,0.476,0.315,2.549,27.506,0.626,0.447,0.272,4.748,67.253,3.007,1.114,0.377,3.495,23.124,1.147,0.315,0.226,0.86,3.271,0.256,0.105,0.057,1.942,20.415,0.549,0.452,0.151,3.345,24.464,1.211,0.984,0.555,1.817,9.734000000000002,0.499,0.902,0.425,1.34,6.136,0.661,0.27,0.156,0.669,2.848,0.855,3.973,0.174,0.9910000000000002,3.71,0.319,0.121,0.05,0.958,0.4,0.8439999999999999,3.713,0.295,0.23,1.274,0.192,0.058,0.046,1.058,3.951,0.386,0.16,0.12,0.589,1.899,0.16,0.197,0.144
510,10,0.915,0.367,0.191,0.496,0.084,0.419,0.2,0.107,0.061,0.04,1.659,0.8339999999999999,0.305,0.169,0.12,1.428,1.184,0.332,0.279,0.08999999999999998,0.741,0.292,0.102,0.072,0.029,0.173,0.036,0.017,0.015,0.005,1.462,0.748,0.293,0.058,0.033,0.632,0.61,0.167,0.059,0.03,2.155,2.969,0.487,0.312,0.091,1.389,4.106,0.778,0.373,0.158,1.789,5.932,0.519,0.213,0.116,1.917,4.886,0.766,0.248,0.079,0.947,2.375,0.437,0.193,0.042,2.529,11.953,0.654,0.286,0.137,3.552,19.451,2.204,0.511,0.221,4.244,44.861,1.252,0.575,0.342,0.966,7.304999999999999,1.333,5.252,0.486,2.935,34.016,0.66,0.395,0.346,2.562,34.268,0.604,0.7239999999999999,0.268,3.763,72.19299999999998,3.017,1.085,0.368,3.439,32.121,1.239,0.4,0.248,0.8439999999999999,5.834,0.299,0.201,0.096,1.681,22.502,0.688,0.319,0.142,2.795,23.475,1.587,0.592,0.471,1.773,9.321,0.404,0.694,0.338,1.891,4.641,0.424,0.243,0.166,0.672,2.663,0.747,3.935,0.126,0.524,3.993,0.342,0.169,0.043,0.924,0.631,0.963,3.19,0.323,0.32,0.81,0.126,0.061,0.042,0.867,2.569,0.333,0.148,0.12,0.686,1.25,0.126,0.181,0.152
511,10,0.771,0.39,0.231,0.391,0.069,0.474,0.424,0.182,0.104,0.06,1.221,1.267,0.322,0.08999999999999998,0.094,1.394,2.269,0.337,0.202,0.09300000000000001,0.652,0.422,0.057,0.032,0.019,0.102,0.068,0.017,0.012,0.005,1.647,0.937,0.336,0.076,0.038,0.984,0.936,0.207,0.057,0.044,2.411,4.703,0.454,0.292,0.106,1.916,4.403,0.795,0.217,0.165,2.36,7.277,0.542,0.2,0.134,2.239,5.801,0.8229999999999998,0.302,0.09300000000000001,0.871,2.868,0.418,0.214,0.056,2.181,13.518,0.583,0.358,0.159,3.231,22.625,2.652,0.59,0.222,3.741,50.937,1.403,0.701,0.34,0.649,9.64,1.289,4.93,0.494,2.428,45.76,0.796,0.558,0.339,2.78,42.043,0.8269999999999998,1.196,0.246,3.94,82.248,2.431,1.09,0.317,3.049,40.212,1.132,0.648,0.265,1.009,8.532999999999998,0.331,0.342,0.153,1.949,25.657,0.714,0.325,0.158,3.71,26.411,1.55,0.489,0.406,2.079,10.87,0.438,0.465,0.238,2.954,4.025,0.382,0.235,0.153,0.7219999999999999,2.936,0.711,3.918,0.116,0.467,3.919,0.253,0.223,0.047,0.7269999999999999,1.112,1.344,2.732,0.323,0.5,0.655,0.115,0.082,0.044,0.9900000000000002,2.007,0.312,0.144,0.099,1.063,1.101,0.09300000000000001,0.136,0.109
512,10,0.614,0.301,0.282,0.376,0.061,0.479,0.523,0.202,0.127,0.064,0.873,1.987,0.286,0.054,0.071,1.294,4.273,0.343,0.16,0.115,0.52,0.572,0.038,0.015,0.015,0.079,0.12,0.019,0.016,0.007,1.317,1.024,0.303,0.125,0.039,1.109,1.66,0.213,0.057,0.061,2.591,8.761,0.636,0.313,0.14,2.012,7.36,0.783,0.265,0.156,2.489,9.458,0.624,0.269,0.163,1.882,8.545,0.716,0.518,0.117,0.885,3.256,0.35,0.251,0.07399999999999998,1.709,15.638,0.54,0.441,0.167,2.615,30.328,2.624,0.751,0.245,3.056,62.468,1.464,0.958,0.303,0.502,10.732,1.242,4.988,0.496,1.858,55.656,1.102,0.786,0.326,2.65,46.275,1.099,1.433,0.245,4.488,89.409,1.496,0.976,0.272,2.36,41.113,1.017,0.802,0.276,1.098,9.151,0.331,0.403,0.178,2.135,26.126,0.585,0.375,0.188,4.384,29.752,1.102,0.513,0.405,2.32,12.927,0.674,0.332,0.221,3.337,4.101,0.555,0.256,0.126,0.801,3.574,0.715,3.579,0.136,0.642,3.396,0.177,0.251,0.059,0.54,1.274,1.66,2.41,0.265,0.635,0.73,0.188,0.124,0.059,1.164,1.921,0.378,0.15,0.07399999999999998,1.414,1.264,0.08799999999999998,0.102,0.062
513,10,0.691,0.25,0.298,0.459,0.064,0.538,0.4,0.149,0.106,0.048,0.8,2.32,0.195,0.08,0.06,1.191,5.218,0.298,0.171,0.138,0.424,0.564,0.042,0.021,0.016,0.08699999999999998,0.177,0.024,0.023,0.011,0.896,1.118,0.244,0.225,0.035,0.944,2.034,0.167,0.065,0.064,2.315,9.961,0.704,0.299,0.147,1.746,8.455,0.631,0.444,0.161,2.127,9.559,0.756,0.371,0.173,1.478,10.564,0.529,0.876,0.131,1.28,3.504,0.275,0.284,0.083,2.007,16.943,0.666,0.597,0.166,2.708,34.817,2.056,1.071,0.275,3.217,69.262,1.442,1.31,0.281,0.798,10.091,1.352,5.431,0.522,2.028,56.174,1.221,0.88,0.338,2.272,43.967,1.164,1.239,0.27,4.487,84.21599999999998,1.145,0.807,0.28,1.884,37.345,0.876,0.719,0.266,1.127,8.416,0.293,0.343,0.151,2.108,22.883,0.482,0.398,0.214,4.093,27.216,0.759,0.49,0.418,2.537,12.178,0.956,0.344,0.257,2.873,4.261,0.675,0.291,0.117,0.902,3.675,0.806,3.301,0.175,0.9900000000000002,2.934,0.178,0.253,0.063,0.7,0.984,1.649,2.422,0.243,0.595,0.698,0.285,0.155,0.07299999999999998,1.215,1.797,0.444,0.193,0.071,1.35,1.108,0.091,0.08899999999999998,0.046
514,10,0.912,0.32,0.303,0.565,0.069,0.618,0.233,0.085,0.067,0.027,0.858,2.023,0.133,0.137,0.052,1.073,4.256,0.238,0.192,0.139,0.319,0.433,0.077,0.033,0.019,0.101,0.23,0.028,0.026,0.014,0.703,1.335,0.246,0.309,0.033,0.799,1.75,0.116,0.076,0.048,1.813,6.965,0.644,0.266,0.129,1.484,6.148,0.441,0.633,0.192,1.832,7.022,0.928,0.432,0.148,1.499,9.644,0.483,1.089,0.121,1.68,3.251,0.276,0.288,0.07299999999999998,3.122,15.524,0.9920000000000002,0.784,0.155,3.312,30.083,1.641,1.497,0.266,3.817,62.416,1.662,1.71,0.266,1.249,8.631,1.542,6.046,0.544,3.093,46.796,1.341,0.877,0.335,2.129,35.394,1.149,0.918,0.268,3.857,66.888,1.282,0.866,0.304,1.732,33.853,0.553,0.566,0.225,1.104,7.941,0.26,0.246,0.105,2.118,19.069,0.434,0.523,0.217,3.295,18.938,0.621,0.475,0.38,2.626,8.663,0.944,0.461,0.282,2.319,3.91,0.591,0.284,0.12,0.865,3.127,0.9950000000000001,3.755,0.229,1.288,3.248,0.266,0.266,0.06,0.962,0.787,1.504,2.996,0.322,0.487,0.556,0.306,0.144,0.07,1.293,1.588,0.416,0.234,0.08599999999999998,1.002,0.679,0.132,0.079,0.051
515,10,1.001,0.457,0.339,0.604,0.08,0.588,0.184,0.066,0.051,0.021,0.9890000000000002,1.387,0.146,0.165,0.045,1.025,2.483,0.22,0.183,0.117,0.205,0.327,0.131,0.039,0.021,0.097,0.245,0.035,0.021,0.014,0.623,1.349,0.289,0.288,0.031,0.705,1.128,0.08999999999999998,0.071,0.026,1.613,3.42,0.63,0.279,0.121,1.271,3.177,0.331,0.711,0.238,1.934,4.292,0.954,0.401,0.116,1.754,6.353,0.53,1.019,0.097,1.47,2.208,0.282,0.24,0.055,3.652,11.409,1.119,0.853,0.128,3.269,20.58,1.372,1.918,0.236,3.508,46.822,1.8,2.014,0.242,1.163,7.445999999999999,1.435,6.035,0.526,3.492,35.747,1.549,0.902,0.289,1.932,27.799,1.266,0.773,0.241,2.963,54.92,1.845,1.095,0.3,1.481,34.395,0.428,0.527,0.194,0.926,7.984,0.323,0.213,0.092,1.895,22.562,0.543,0.8179999999999998,0.216,2.651,14.706,0.76,0.53,0.322,2.378,8.968,0.679,0.548,0.374,2.216,4.264,0.478,0.244,0.123,0.6,3.094,1.062,4.293,0.272,1.317,6.709,0.553,0.347,0.07499999999999998,0.895,1.326,1.362,3.383,0.423,0.457,0.47,0.215,0.102,0.054,1.453,1.924,0.37,0.226,0.104,0.899,0.45,0.23,0.077,0.07
516,10,0.909,0.595,0.428,0.615,0.104,0.513,0.185,0.065,0.058,0.027,1.121,0.762,0.184,0.144,0.038,1.026,1.335,0.251,0.159,0.084,0.193,0.25,0.155,0.039,0.022,0.083,0.185,0.047,0.017,0.012,0.605,1.063,0.325,0.187,0.032,0.541,0.599,0.09300000000000001,0.055,0.013,1.823,2.775,0.641,0.301,0.134,1.293,2.357,0.393,0.677,0.283,2.476,4.143,0.771,0.343,0.112,2.057,3.331,0.575,0.8159999999999998,0.078,0.8269999999999998,1.036,0.224,0.164,0.045,2.89,7.079,0.8309999999999998,0.719,0.104,3.01,15.87,0.956,2.153,0.25,2.552,34.809,1.315,1.991,0.234,0.7269999999999999,6.805,1.189,5.551,0.476,2.759,29.94,1.472,0.912,0.249,1.453,28.098,1.632,0.872,0.249,2.356,62.65,2.63,1.257,0.286,1.184,39.094,0.8449999999999999,0.587,0.205,0.717,8.054,0.544,0.251,0.117,1.396,36.445,0.91,1.066,0.248,2.703,22.754,1.216,0.634,0.344,2.081,19.001,0.559,0.529,0.596,2.444,8.489,0.52,0.231,0.161,0.316,4.151,1.023,4.235,0.277,1.254,13.829,1.118,0.479,0.115,0.66,2.334,1.287,3.149,0.465,0.427,0.5,0.1,0.066,0.037,1.554,3.763,0.404,0.19,0.124,1.183,0.626,0.285,0.095,0.1
517,10,0.794,0.627,0.518,0.611,0.116,0.609,0.168,0.055,0.068,0.034,1.196,0.393,0.178,0.113,0.033,1.113,0.94,0.269,0.13,0.052,0.433,0.163,0.126,0.05,0.022,0.092,0.091,0.051,0.016,0.008,0.757,0.862,0.359,0.107,0.037,0.49,0.304,0.139,0.051,0.01,2.29,3.869,0.58,0.256,0.141,1.749,2.813,0.7239999999999999,0.604,0.285,3.141,5.541,0.654,0.339,0.122,2.324,1.793,0.7259999999999999,0.629,0.071,0.396,0.384,0.164,0.099,0.037,1.702,3.859,0.536,0.488,0.097,3.579,15.294,0.8419999999999999,2.089,0.276,2.081,27.154,0.748,1.663,0.238,0.501,5.907,1.107,5.266,0.407,1.958,25.585,1.212,0.8249999999999998,0.235,0.9900000000000002,29.927,1.997,1.197,0.301,2.477,74.36499999999998,2.992,1.296,0.295,1.025,40.196,1.594,0.63,0.226,0.586,7.203,0.697,0.281,0.136,0.889,47.496,1.404,1.039,0.287,3.467,34.056,1.563,0.785,0.446,2.168,30.487,0.696,0.476,0.766,2.586,14.481,0.655,0.252,0.223,0.243,4.931,1.203,3.977,0.255,1.14,18.295,1.514,0.521,0.138,0.598,2.683,1.372,3.023,0.434,0.308,0.534,0.048,0.046,0.026,1.518,6.012,0.455,0.171,0.135,1.423,1.001,0.227,0.12,0.118
518,10,0.698,0.511,0.53,0.538,0.09300000000000001,0.799,0.151,0.045,0.071,0.036,1.194,0.321,0.156,0.104,0.038,1.398,1.025,0.309,0.12,0.038,0.714,0.13,0.11,0.076,0.025,0.105,0.036,0.036,0.014,0.006,1.151,1.162,0.369,0.085,0.041,0.805,0.413,0.214,0.077,0.014,3.863,4.574,0.496,0.212,0.146,3.253,4.419,1.304,0.527,0.254,3.802,5.798,0.639,0.353,0.115,2.873,2.311,0.922,0.465,0.07399999999999998,0.428,0.198,0.149,0.056,0.027,1.458,2.331,0.485,0.316,0.09300000000000001,6.04,14.438,1.083,1.809,0.247,3.221,18.932,0.531,1.321,0.221,0.8379999999999999,4.388,1.083,4.947,0.34,2.76,18.185,1.214,0.693,0.208,1.405,25.409,2.104,1.469,0.344,3.921,70.288,3.097,1.248,0.305,1.395,33.153,2.151,0.596,0.221,0.678,5.075,0.667,0.244,0.12,1.115,42.336,1.801,0.787,0.27,4.538,33.764,1.523,0.968,0.561,2.696,29.601,0.732,0.503,0.717,3.076,15.175,0.698,0.277,0.24,0.365,4.079,1.544,3.703,0.249,0.865,14.757,1.291,0.385,0.11,0.717,1.928,1.395,3.15,0.36,0.195,0.444,0.041,0.035,0.018,1.452,6.011,0.392,0.164,0.117,1.411,1.154,0.151,0.13,0.103
519,10,0.677,0.392,0.494,0.476,0.061,0.788,0.153,0.052,0.06,0.032,1.272,0.388,0.18,0.108,0.053,1.728,1.715,0.508,0.171,0.049,0.737,0.207,0.162,0.099,0.035,0.08599999999999998,0.027,0.021,0.008999999999999998,0.005,1.791,2.019,0.359,0.099,0.044,1.325,1.026,0.251,0.119,0.027,6.59,5.833,0.553,0.291,0.173,5.887,10.236,1.898,0.508,0.26,4.39,5.617,0.587,0.337,0.102,3.967,6.974,1.067,0.349,0.08599999999999998,0.671,0.311,0.157,0.036,0.02,2.351,3.796,0.733,0.278,0.08699999999999998,10.195,19.287,1.628,1.595,0.205,6.067,15.116,1.101,1.109,0.197,1.584,3.219,1.253,4.667,0.314,5.067,11.825,1.576,0.569,0.179,2.373,19.344,1.779,1.348,0.343,5.778,59.727,2.961,1.107,0.29,2.21,25.396,1.929,0.501,0.202,0.977,2.96,0.559,0.166,0.085,1.906,27.634,1.846,0.533,0.214,4.854,22.624,1.374,1.075,0.672,3.207,17.566,0.694,0.618,0.544,3.851,9.491,0.596,0.316,0.198,0.516,2.354,1.744,3.229,0.279,0.648,7.442999999999999,0.678,0.184,0.063,0.8429999999999999,0.984,1.199,2.984,0.324,0.144,0.256,0.041,0.035,0.015,1.38,3.583,0.286,0.158,0.085,1.364,0.905,0.181,0.12,0.071
520,10,0.745,0.37,0.467,0.504,0.051,0.543,0.157,0.07299999999999998,0.044,0.029,1.592,0.5,0.229,0.12,0.062,1.977,2.593,0.778,0.264,0.068,0.535,0.31,0.217,0.098,0.042,0.064,0.052,0.035,0.008,0.006,2.235,2.696,0.349,0.12,0.049,1.605,1.672,0.24,0.154,0.044,8.231999999999998,8.042,0.775,0.43,0.191,7.626,17.622,2.272,0.596,0.306,4.125,7.026,0.467,0.324,0.109,4.774,14.036,1.158,0.347,0.101,0.8389999999999999,0.542,0.193,0.04,0.02,3.456,7.816,1.19,0.376,0.08599999999999998,12.897,32.231,2.017,1.505,0.23,8.543,23.757,2.346,0.936,0.216,2.21,3.441,1.79,4.768,0.322,6.902,13.642,2.214,0.472,0.206,2.99,20.348,1.399,0.9970000000000001,0.309,6.568,63.822,2.599,0.9960000000000001,0.26,3.056,25.232,1.337,0.41,0.193,1.367,2.444,0.506,0.119,0.06,2.787,19.548,1.501,0.462,0.19,3.977,15.012,1.39,1.037,0.798,3.404,8.721999999999998,0.804,0.7,0.42,3.943,4.547,0.437,0.345,0.157,0.65,1.339,1.669,2.944,0.34,0.909,3.564,0.317,0.08,0.042,0.8459999999999999,0.767,1.015,2.738,0.366,0.129,0.13,0.055,0.042,0.02,1.186,1.407,0.245,0.149,0.065,1.446,0.576,0.318,0.109,0.055
521,10,0.733,0.403,0.411,0.525,0.054,0.314,0.149,0.092,0.035,0.027,1.886,0.607,0.24,0.138,0.055,1.946,2.667,0.856,0.295,0.069,0.365,0.313,0.204,0.082,0.036,0.06,0.085,0.066,0.011,0.006,2.046,2.311,0.362,0.127,0.055,1.344,1.682,0.253,0.16,0.051,7.025,8.464,0.975,0.459,0.162,6.691,18.642,2.316,0.673,0.319,2.756,8.769999999999998,0.53,0.331,0.119,4.338,16.663,1.166,0.398,0.11,0.8189999999999998,0.745,0.228,0.066,0.022,3.764,11.15,1.557,0.52,0.092,11.593,40.158,1.829,1.32,0.287,8.765,38.611,3.192,0.808,0.27,2.097,4.838,2.049,4.684,0.32,6.873,22.2,2.69,0.458,0.281,2.911,26.639,1.38,0.78,0.268,6.214,76.985,2.399,1.053,0.234,3.36,28.783,1.016,0.375,0.185,1.51,3.003,0.528,0.112,0.049,3.243,20.045,1.145,0.558,0.211,2.933,15.875,1.623,0.955,0.853,3.155,8.487,1.185,0.631,0.363,3.293,4.113,0.489,0.32,0.146,0.755,1.128,1.399,3.02,0.392,1.414,3.248,0.431,0.098,0.047,0.714,0.931,0.983,2.733,0.408,0.114,0.117,0.082,0.042,0.026,1.021,0.8389999999999999,0.284,0.125,0.054,1.484,0.421,0.496,0.109,0.058
522,10,0.563,0.504,0.314,0.532,0.055,0.252,0.163,0.106,0.04,0.026,1.853,0.892,0.249,0.161,0.051,1.806,2.279,0.753,0.231,0.053,0.39,0.248,0.157,0.065,0.023,0.052,0.08899999999999998,0.076,0.013,0.005,1.582,1.204,0.384,0.123,0.057,0.858,1.308,0.328,0.137,0.047,4.567,6.065,0.966,0.371,0.118,4.661,12.963,2.011,0.602,0.284,1.528,8.37,0.928,0.374,0.106,3.164,12.827,1.006,0.456,0.117,0.68,1.169,0.2,0.14,0.03,3.256,11.939,1.51,0.673,0.102,7.623,34.141,1.306,1.199,0.315,7.052,46.736,2.912,1.049,0.291,1.444,6.845,1.652,4.397,0.316,5.45,30.026,2.604,0.635,0.327,2.517,31.704,1.527,0.791,0.243,5.854,78.542,2.546,1.153,0.234,2.792,30.859,1.28,0.398,0.159,1.174,4.013,0.586,0.123,0.044,3.103,20.902,1.275,0.677,0.236,3.21,17.102,2.185,0.967,0.767,2.901,9.394,1.761,0.512,0.329,3.376,4.977,1.167,0.303,0.15,0.764,1.061,1.32,3.336,0.398,1.57,3.369,0.903,0.242,0.064,0.57,0.897,1.138,2.762,0.393,0.21,0.185,0.103,0.045,0.029,1.233,0.939,0.51,0.106,0.05,1.664,0.457,0.702,0.123,0.059
523,10,0.419,0.768,0.235,0.605,0.058,0.287,0.207,0.106,0.044,0.022,1.606,1.353,0.301,0.178,0.061,2.211,2.838,0.673,0.162,0.045,0.474,0.252,0.121,0.05,0.016,0.045,0.067,0.053,0.013,0.005,1.337,0.591,0.399,0.118,0.056,0.879,1.614,0.388,0.117,0.047,3.96,4.656,0.79,0.307,0.115,4.703,9.284,1.518,0.477,0.25,1.479,6.829,1.398,0.455,0.08699999999999998,2.443,8.463,0.739,0.525,0.124,0.534,2.215,0.149,0.271,0.051,2.275,12.635,1.157,0.8509999999999999,0.115,4.548,24.606,1.024,1.398,0.325,4.638,49.962,2.255,1.728,0.254,0.928,9.093000000000002,1.365,4.955,0.33,3.731,35.073,2.318,0.962,0.315,2.132,35.115,1.583,0.971,0.244,5.829,72.40699999999998,2.829,1.215,0.265,1.886,33.963,1.607,0.513,0.132,0.657,5.806,0.597,0.19,0.044,2.669,20.179,1.649,0.749,0.239,4.187,16.961,2.795,1.071,0.637,2.782,7.917,2.025,0.523,0.321,4.029,4.745,2.02,0.373,0.153,0.636,1.007,1.679,3.848,0.352,1.283,3.24,1.331,0.472,0.08599999999999998,0.449,0.658,1.472,2.917,0.381,0.528,0.344,0.111,0.071,0.038,1.657,1.084,0.859,0.132,0.06,1.838,0.585,0.8259999999999998,0.135,0.052
524,10,0.394,0.985,0.197,0.651,0.061,0.345,0.216,0.085,0.04,0.017,1.31,1.527,0.335,0.17,0.067,3.258,4.443,0.622,0.167,0.06,0.473,0.361,0.08999999999999998,0.038,0.014,0.072,0.046,0.029,0.013,0.005,1.322,0.9940000000000001,0.38,0.129,0.057,1.653,2.839,0.357,0.12,0.057,5.69,6.612,0.647,0.3,0.138,6.386,11.117,1.104,0.46,0.229,2.187,6.62,1.499,0.557,0.08799999999999998,2.418,7.433,0.565,0.568,0.122,0.498,3.41,0.159,0.405,0.07299999999999998,1.473,15.16,0.876,0.982,0.13,3.515,22.857,1.093,1.714,0.347,3.105,57.996,2.063,2.337,0.226,0.948,10.584,1.444,5.942,0.339,2.899,40.08,2.121,1.184,0.292,2.061,38.869,1.417,1.2,0.267,5.859,76.405,2.688,1.201,0.283,1.905,39.001,1.449,0.731,0.132,0.543,7.621,0.49,0.322,0.046,2.251,21.059,1.752,0.756,0.209,4.194,21.386,2.836,1.104,0.572,2.465,7.71,1.802,0.61,0.367,3.761,3.927,2.157,0.464,0.129,0.472,0.93,1.889,3.994,0.269,1.078,3.213,1.259,0.594,0.097,0.349,0.497,1.602,3.241,0.398,0.8189999999999998,0.482,0.112,0.099,0.048,1.772,1.157,0.968,0.189,0.07,1.57,0.705,0.732,0.12,0.043
